8.6	75.8495   	152.805   	81.4785   	148.9     	30.7282
8.7	79.3914   	160.036   	84.3167   	157.193     	26.0374
8.8	82.9333   	167.266   	86.686   	165.747     	21.3467
8.9	86.4752   	174.497   	88.5861   	174.515     	16.6559
9	90.0171   	181.728   	90.0171   	183.449     	11.9651
9.1	95.8567   	193.649   	91.678   	192.526     	21.2513
9.2	101.696   	205.571   	94.2674   	201.816     	30.5375
9.3	107.536   	217.492   	97.7855   	211.411     	39.8237
9.4	113.376   	229.414   	102.232   	221.404     	49.1098
9.5	119.215   	241.336   	107.607   	231.888     	58.396
9.6	125.055   	253.257   	113.911   	242.956     	67.6822
9.7	130.894   	265.179   	121.144   	254.701     	76.9684
9.8	136.734   	277.1   	129.305   	267.216     	86.2546
9.9	142.574   	289.022   	138.395   	280.593     	95.5407
10	148.413   	300.943   	148.413   	294.926     	104.827
10.1	158.041   	320.598   	158.81   	310.288     	103.117
10.2	167.669   	340.254   	169.037   	326.682     	101.408
10.3	177.297   	359.909   	179.092   	344.09     	99.698
10.4	186.925   	379.564   	188.976   	362.495     	97.9884
10.5	196.553   	399.219   	198.69   	381.879     	96.2788
10.6	206.18   	418.875   	208.232   	402.227     	94.5691
10.7	215.808   	438.53   	217.603   	423.52     	92.8595
10.8	225.436   	458.185   	226.804   	445.742     	91.1499
10.9	235.064   	477.84   	235.833   	468.875     	89.4403
11	244.692   	497.496   	244.692   	492.903     	87.7306
11.1	260.566   	529.902   	254.175   	517.834     	101.932
11.2	276.439   	562.308   	265.078   	543.785     	116.133
11.3	292.313   	594.714   	277.402   	570.897     	130.334
11.4	308.187   	627.12   	291.145   	599.313     	144.536
11.5	324.06   	659.526   	306.309   	629.174     	158.737
11.6	339.934   	691.932   	322.893   	660.622     	172.938
11.7	355.808   	724.338   	340.896   	693.8     	187.139
11.8	371.681   	756.744   	360.32   	728.849     	201.341
11.9	387.555   	789.15   	381.165   	765.911     	215.542
12	403.429   	821.556   	403.429   	805.129     	229.743
12.1	429.6   	874.985   	426.723   	846.631     	236.137
12.2	455.771   	928.413   	450.656   	890.495     	242.531
12.3	481.943   	981.842   	475.229   	936.784     	248.925
12.4	508.114   	1035.27   	500.441   	985.562     	255.319
12.5	534.285   	1088.7   	526.293   	1036.89     	261.713
12.6	560.456   	1142.13   	552.784   	1090.84     	268.107
12.7	586.628   	1195.56   	579.914   	1147.47     	274.501
12.8	612.799   	1248.98   	607.684   	1206.85     	280.895
12.9	638.97   	1302.41   	636.093   	1269.03     	287.289
13	665.142   	1355.84   	665.142   	1334.09     	293.683
