1  	0  	0
1.0099  	0.0202006  	0.0202007
1.01958  	0.0408049  	0.0408052
1.02903  	0.0618163  	0.0618174
1.03826  	0.0832381  	0.0832408
1.04723  	0.105073  	0.105079
1.05594  	0.127325  	0.127334
1.06438  	0.149994  	0.15001
1.07253  	0.173085  	0.173108
1.08039  	0.196598  	0.196631
1.08793  	0.220535  	0.220581
1.09515  	0.244897  	0.244958
1.10202  	0.269684  	0.269764
1.10854  	0.294896  	0.295
1.11469  	0.320533  	0.320664
1.12044  	0.346593  	0.346757
1.12579  	0.373075  	0.373277
1.13072  	0.399976  	0.400221
1.1352  	0.427294  	0.427588
1.13923  	0.455024  	0.455374
1.14278  	0.483161  	0.483575
1.14584  	0.5117  	0.512185
1.14838  	0.540634  	0.541198
1.15038  	0.569956  	0.570608
1.15183  	0.599658  	0.600407
1.15271  	0.629728  	0.630585
1.15299  	0.660158  	0.661132
1.15265  	0.690934  	0.692036
1.15168  	0.722043  	0.723286
1.15004  	0.753472  	0.754866
1.14773  	0.785202  	0.786762
1.14471  	0.817218  	0.818956
1.14097  	0.849501  	0.851431
1.13648  	0.882029  	0.884165
1.13123  	0.914781  	0.917138
1.12519  	0.947733  	0.950326
1.11834  	0.980859  	0.983705
1.11066  	1.01413  	1.01725
1.10213  	1.04753  	1.05092
1.09274  	1.08101  	1.0847
1.08246  	1.11454  	1.11856
1.07127  	1.1481  	1.15245
1.05916  	1.18164  	1.18634
1.04612  	1.21513  	1.2202
1.03212  	1.24852  	1.25399
1.01716  	1.28178  	1.28765
1.00122  	1.31486  	1.32116
0.98429  	1.34772  	1.35446
0.966365  	1.38032  	1.38751
0.947437  	1.41259  	1.42026
0.9275  	1.4445  	1.45265
0.906551  	1.47598  	1.48465
0.884591  	1.507  	1.51619
0.861621  	1.5375  	1.54722
0.837646  	1.56742  	1.57768
0.812672  	1.5967  	1.60753
0.786708  	1.6253  	1.6367
0.759768  	1.65316  	1.66513
0.731866  	1.68022  	1.69277
0.703021  	1.70642  	1.71957
0.673254  	1.73171  	1.74546
0.64259  	1.75604  	1.77038
0.611054  	1.77935  	1.79429
0.578679  	1.80158  	1.81712
0.545496  	1.82269  	1.83883
0.511543  	1.84263  	1.85936
0.476859  	1.86135  	1.87866
0.441486  	1.87879  	1.89668
0.405468  	1.89493  	1.91338
0.368853  	1.90971  	1.92871
0.331691  	1.92311  	1.94263
0.294034  	1.93508  	1.95512
0.255937  	1.94559  	1.96612
0.217455  	1.95461  	1.97562
0.178646  	1.96213  	1.98359
0.139569  	1.96813  	1.99
0.100286  	1.97257  	1.99485
0.0608563  	1.97547  	1.9981
0.0213429  	1.97679  	1.99977
-0.0181921  	1.97656  	1.99983
-0.0576864  	1.97475  	1.9983
-0.0970778  	1.97139  	1.99516
-0.136305  	1.96647  	1.99045
-0.175306  	1.96002  	1.98416
-0.214022  	1.95205  	1.97631
-0.252394  	1.94258  	1.96693
-0.290365  	1.93164  	1.95605
-0.32788  	1.91926  	1.94368
-0.364885  	1.90546  	1.92987
-0.401329  	1.8903  	1.91465
-0.437164  	1.8738  	1.89806
-0.472343  	1.85601  	1.88014
-0.506822  	1.83697  	1.86094
-0.540561  	1.81673  	1.84051
-0.573521  	1.79534  	1.81889
-0.605669  	1.77285  	1.79615
-0.63697  	1.74931  	1.77232
-0.667397  	1.72478  	1.74748
-0.696924  	1.6993  	1.72166
-0.725527  	1.67294  	1.69494
-0.753187  	1.64574  	1.66736
-0.779886  	1.61777  	1.63899
-0.80561  	1.58909  	1.60988
-0.830349  	1.55973  	1.58008
-0.854093  	1.52977  	1.54966
-0.876837  	1.49926  	1.51868
-0.898576  	1.46824  	1.48718
-0.919311  	1.43677  	1.45522
-0.939043  	1.40491  	1.42285
-0.957775  	1.37269  	1.39013
-0.975512  	1.34018  	1.3571
-0.992262  	1.30742  	1.32382
-1.00803  	1.27445  	1.29033
-1.02284  	1.24131  	1.25667
-1.03669  	1.20806  	1.2229
-1.0496  	1.17473  	1.18904
-1.06158  	1.14135  	1.15515
-1.07266  	1.10798  	1.12126
-1.08284  	1.07463  	1.0874
-1.09215  	1.04135  	1.05361
-1.1006  	1.00816  	1.01992
-1.10821  	0.975101  	0.98637
-1.115  	0.942194  	0.952978
-1.121  	0.909468  	0.919773
-1.12622  	0.876946  	0.886782
-1.13069  	0.844652  	0.854028
-1.13442  	0.812607  	0.821532
-1.13744  	0.78083  	0.789315
-1.13977  	0.74934  	0.757395
-1.14143  	0.718154  	0.725789
-1.14244  	0.687287  	0.694512
-1.14282  	0.656753  	0.66358
-1.14259  	0.626564  	0.633004
-1.14177  	0.596733  	0.602796
-1.14039  	0.56727  	0.572967
-1.13846  	0.538183  	0.543526
-1.13601  	0.509481  	0.514481
-1.13304  	0.481172  	0.485838
-1.12959  	0.45326  	0.457605
-1.12567  	0.425753  	0.429786
-1.12129  	0.398653  	0.402385
-1.11648  	0.371965  	0.375407
-1.11126  	0.345692  	0.348853
-1.10563  	0.319836  	0.322727
-1.09962  	0.294398  	0.297028
-1.09324  	0.269379  	0.271758
-1.0865  	0.244781  	0.246918
-1.07943  	0.220602  	0.222506
-1.07204  	0.196843  	0.198522
-1.06433  	0.173501  	0.174965
-1.05633  	0.150577  	0.151833
-1.04805  	0.128067  	0.129124
-1.0395  	0.10597  	0.106836
-1.03069  	0.0842836  	0.0849645
-1.02163  	0.0630046  	0.0635083
-1.01234  	0.0421301  	0.0424635
-1.00282  	0.0216569  	0.0218266
-0.993092  	0.00158165  	0.00159392
-0.98316  	-0.0180994  	-0.0182385
