0.2	1.3
0.22	1.19136
0.24	1.10167
0.26	1.02654
0.28	0.962857
0.3	0.908333
0.32	0.86125
0.34	0.820294
0.36	0.784444
0.38	0.752895
0.4	0.725
0.42	0.700238
0.44	0.678182
0.46	0.658478
0.48	0.640833
0.5	0.625
0.52	0.610769
0.54	0.597963
0.56	0.586429
0.58	0.576034
0.6	0.566667
0.62	0.558226
0.64	0.550625
0.66	0.543788
0.68	0.537647
0.7	0.532143
0.72	0.527222
0.74	0.522838
0.76	0.518947
0.78	0.515513
0.8	0.5125
0.82	0.509878
0.84	0.507619
0.86	0.505698
0.88	0.504091
0.9	0.502778
0.92	0.501739
0.94	0.500957
0.96	0.500417
0.98	0.500102
1	0.5
1.02	0.500098
1.04	0.500385
1.06	0.500849
1.08	0.501481
1.1	0.502273
1.12	0.503214
1.14	0.504298
1.16	0.505517
1.18	0.506864
1.2	0.508333
1.22	0.509918
1.24	0.511613
1.26	0.513413
1.28	0.515313
1.3	0.517308
1.32	0.519394
1.34	0.521567
1.36	0.523824
1.38	0.526159
1.4	0.528571
1.42	0.531056
1.44	0.533611
1.46	0.536233
1.48	0.538919
1.5	0.541667
1.52	0.544474
1.54	0.547338
1.56	0.550256
1.58	0.553228
1.6	0.55625
1.62	0.559321
1.64	0.562439
1.66	0.565602
1.68	0.56881
1.7	0.572059
1.72	0.575349
1.74	0.578678
1.76	0.582045
1.78	0.585449
1.8	0.588889
1.82	0.592363
1.84	0.59587
1.86	0.599409
1.88	0.602979
1.9	0.606579
1.92	0.610208
1.94	0.613866
1.96	0.617551
1.98	0.621263
2	0.625
